fact_id,dataset_id,record_id,yearbook_year,statistical_year_start,statistical_year_end,institution,topic,dimension_label,metric,metric_path,numeric_value,text_value,value_kind,unit,source_row,source_column,quality_flag
fact_8c83242d9c52b8efe089f3a6,dataset_f4cfc5945e70100ba3e6ea62,record_76221e8797aca817d4216241,2019,2018,2018,其他,other,17地级市,合计,县 级/合计,158,158,number,,26,5,auto_extracted;year_inferred
fact_ae9adcab722dbb814f0d813c,dataset_f4cfc5945e70100ba3e6ea62,record_76221e8797aca817d4216241,2019,2018,2018,其他,other,52市辖区 21县级市 85 县,合计,乡 级/合计,2451,2451,number,,26,7,auto_extracted;year_inferred
fact_3843765f6d525d2097a269d3,dataset_f4cfc5945e70100ba3e6ea62,record_76221e8797aca817d4216241,2019,2018,2018,其他,other,1 173 镇 606乡 12民族乡 660街道,人口 (万人),人口 (万人),10932,10932,number,万人,26,9,auto_extracted;year_inferred
fact_4eee2eec2ab5540c707fd4aa,dataset_f4cfc5945e70100ba3e6ea62,record_9703f668b8781f960dade688,2019,2018,2018,其他,other,湖 北 省,合计,地 级/合计,13,13,number,,27,3,auto_extracted;year_inferred
fact_e4f520b5254c786acdeb20f4,dataset_f4cfc5945e70100ba3e6ea62,record_9703f668b8781f960dade688,2019,2018,2018,其他,other,12地级市 1自治州,合计,县 级/合计,103,103,number,,27,5,auto_extracted;year_inferred
fact_28d46c7038bd00178ee9bdd9,dataset_f4cfc5945e70100ba3e6ea62,record_9703f668b8781f960dade688,2019,2018,2018,其他,other,39市辖区 25县级市 36 县 2自治县 1林 区,合计,乡 级/合计,1235,1235,number,,27,7,auto_extracted;year_inferred
fact_5a3d9556632e04c58c216782,dataset_f4cfc5945e70100ba3e6ea62,record_9703f668b8781f960dade688,2019,2018,2018,其他,other,762镇 153乡 10民族乡 310街道,人口 (万人),人口 (万人),6165,6165,number,万人,27,9,auto_extracted;year_inferred
fact_867fec19ac38980aedd70b19,dataset_f4cfc5945e70100ba3e6ea62,record_d5a87445284a7fd15b21202b,2019,2018,2018,其他,other,湖 南 省,合计,地 级/合计,14,14,number,,33,3,auto_extracted;year_inferred
fact_bd1aa2a6c156de464c611c1f,dataset_f4cfc5945e70100ba3e6ea62,record_d5a87445284a7fd15b21202b,2019,2018,2018,其他,other,13地级市 1自治州,合计,县 级/合计,122,122,number,,33,5,auto_extracted;year_inferred
fact_cd9143e4c797ef09597531d7,dataset_f4cfc5945e70100ba3e6ea62,record_d5a87445284a7fd15b21202b,2019,2018,2018,其他,other,36市辖区 17县级市 62 县 7自治县,合计,乡 级/合计,1933,1933,number,,33,7,auto_extracted;year_inferred
fact_0eb2bda1309485d75ddf8226,dataset_f4cfc5945e70100ba3e6ea62,record_d5a87445284a7fd15b21202b,2019,2018,2018,其他,other,1 138 镇 309乡 83民族乡 403街道,人口 (万人),人口 (万人),7132,7132,number,万人,33,9,auto_extracted;year_inferred
fact_9a8e6f2ea5d60a026f1b3157,dataset_f4cfc5945e70100ba3e6ea62,record_c389b54498b230da22f5c0b8,2019,2018,2018,其他,other,广 东 省,合计,地 级/合计,21,21,number,,34,3,auto_extracted;year_inferred
fact_e47530a4338122b261ee8437,dataset_f4cfc5945e70100ba3e6ea62,record_c389b54498b230da22f5c0b8,2019,2018,2018,其他,other,21地级市,合计,县 级/合计,122,122,number,,34,5,auto_extracted;year_inferred
fact_229ee5be9994346630716ed2,dataset_f4cfc5945e70100ba3e6ea62,record_c389b54498b230da22f5c0b8,2019,2018,2018,其他,other,65市辖区 20县级市 34 县 3自治县,合计,乡 级/合计,1601,1601,number,,34,7,auto_extracted;year_inferred
fact_4ee035591d65e6a16f64f4dd,dataset_f4cfc5945e70100ba3e6ea62,record_c389b54498b230da22f5c0b8,2019,2018,2018,其他,other,1 123 镇 4乡 7民族乡 467街道,人口 (万人),人口 (万人),8636,8636,number,万人,34,9,auto_extracted;year_inferred
fact_2d6391fe1b8aa10f76be43f9,dataset_f4cfc5945e70100ba3e6ea62,record_c5a4f12e7fae6f78adb7fba0,2019,2018,2018,其他,other,广西壮族自治区,合计,地 级/合计,14,14,number,,35,3,auto_extracted;year_inferred
fact_9ee96b53b8c2514bb46b9cec,dataset_f4cfc5945e70100ba3e6ea62,record_c5a4f12e7fae6f78adb7fba0,2019,2018,2018,其他,other,14地级市,合计,县 级/合计,111,111,number,,35,5,auto_extracted;year_inferred
fact_199550ff39a27b3ba5a6c74a,dataset_f4cfc5945e70100ba3e6ea62,record_c5a4f12e7fae6f78adb7fba0,2019,2018,2018,其他,other,40市辖区 8县级市 51 县 12自治县,合计,乡 级/合计,1251,1251,number,,35,7,auto_extracted;year_inferred
fact_8633fd71fa6ac9a28022d1da,dataset_f4cfc5945e70100ba3e6ea62,record_c5a4f12e7fae6f78adb7fba0,2019,2018,2018,其他,other,806镇 253乡 59民族乡 133街道,人口 (万人),人口 (万人),5378,5378,number,万人,35,9,auto_extracted;year_inferred
fact_f3d8f7666f84d26272de0bf2,dataset_f4cfc5945e70100ba3e6ea62,record_000720011028b83f87c0e6e6,2019,2018,2018,其他,other,海 南 省,合计,地 级/合计,4,4,number,,36,3,auto_extracted;year_inferred
